DentalOnlyPlan,HIOSProductId,IssuerId,MarketCoverage,NetworkId,PlanId,PlanMarketingName,PlanType,QHPNonQHPTypeId,RowNumber,ServiceAreaId,StandardComponentId,StateCode,TIN,UniquePlanDesign,WellnessProgramOffered,ChildOnlyOffering_Adult-Only,ChildOnlyOffering_Allows Adult and Child-Only,ChildOnlyOffering_Child-Only,CSRVariationType_73% AV Level Silver Plan,CSRVariationType_87% AV Level Silver Plan,CSRVariationType_94% AV Level Silver Plan,CSRVariationType_Limited Cost Sharing Plan Variation,CSRVariationType_Standard  On Exchange Plan,CSRVariationType_Standard Bronze Off Exchange Plan,CSRVariationType_Standard Bronze On Exchange Plan,CSRVariationType_Standard Catastrophic Off Exchange Plan,CSRVariationType_Standard Catastrophic On Exchange Plan,CSRVariationType_Standard Gold Off Exchange Plan,CSRVariationType_Standard Gold On Exchange Plan,CSRVariationType_Standard High Off Exchange Plan,CSRVariationType_Standard High On Exchange Plan,CSRVariationType_Standard Low Off Exchange Plan,CSRVariationType_Standard Low On Exchange Plan,CSRVariationType_Standard Platinum  On Exchange Plan,CSRVariationType_Standard Platinum Off Exchange Plan,CSRVariationType_Standard Platinum On Exchange Plan,CSRVariationType_Standard Silver Off Exchange Plan,CSRVariationType_Standard Silver On Exchange Plan,CSRVariationType_Zero Cost Sharing Plan Variation,IsNewPlan_Existing,IsNewPlan_New,IssuerId_scaled,Metal_Bronze,Metal_Gold,Metal_Other,Metal_Platinum,Metal_Silver
0,1151210000006,0.015810320656890448,0,10000N001,11512100000060017-00,Blue Advantage Platinum 500,1,2,4,100001,11512100000060017,10,56-0894904,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.015810320656890448,0,0,0,1,0
0,1151210000002,0.015810320656890448,1,10000N001,11512100000020003-00,Blue Options Platinum 500-1,1,2,4,100001,11512100000020003,10,56-0894904,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.015810320656890448,0,0,0,1,0
0,1151210000010,0.015810320656890448,0,10000N002,11512100000100021-00,Blue Value Platinum 500,2,2,33,100002,11512100000100021,10,56-0894904,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.015810320656890448,0,0,0,1,0
0,1151210000012,0.015810320656890448,0,10000N001,11512100000120001-00,Blue Select Gold 1000,1,2,62,100004,11512100000120001,10,56-0894904,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.015810320656890448,0,1,0,0,0
0,1151210000011,0.015810320656890448,1,10000N001,11512100000110001-00,Blue Select Gold 1000-1,1,2,4,100004,11512100000110001,10,56-0894904,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.015810320656890448,0,1,0,0,0
0,1151210000004,0.015810320656890448,1,10000N001,11512100000040006-00,Blue Options Silver with HSA 2000-1,1,2,4,100001,11512100000040006,10,56-0894904,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.015810320656890448,0,0,0,0,1
0,5634610000003,0.5146420703620463,0,10000N003,56346100000030035-06,Silver $10 Copay POS Carolinas HealthCare System,2,1,15,100003,56346100000030035,10,20-0229117,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5146420703620463,0,0,0,0,1
0,3716011000244,0.30117492601081464,1,11000N001,37160110002440012-00,BlueCare 70 500,1,2,14,110001,37160110002440012,11,45-0173185,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.30117492601081464,0,1,0,0,0
0,7375111000008,0.7082934644740648,0,11000N002,73751110000080007-02,Medica Applause Gold H S A,1,1,5,110002,73751110000080007,11,41-1242261,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.7082934644740648,0,1,0,0,0
0,3716011000241,0.30117492601081464,0,11000N001,37160110002410002-03,BlueCare 70 3000,1,2,7,110001,37160110002410002,11,45-0173185,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.30117492601081464,0,0,0,0,1
0,7375111000009,0.7082934644740648,1,11000N001,73751110000090001-00,Medica Essential 11000 1300-20% HSA Gold,2,2,4,110001,73751110000090001,11,41-1242261,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7082934644740648,0,1,0,0,0
0,8936411000009,0.8820067202207437,0,11000N001,89364110000090002-03,"Simplicity $2,500",0,2,11,110001,89364110000090002,11,91-1842494,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8820067202207437,0,0,0,0,1
0,1019112000005,0.0011126193284229785,0,12000N001,10191120000050003-00,CorePlatinum,3,2,15,120001,10191120000050003,12,45-3262003,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0011126193284229785,0,0,0,1,0
0,1019112000010,0.0011126193284229785,1,12000N001,10191120000100001-01,PrimeBronze,3,2,5,120001,10191120000100001,12,45-3262003,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0011126193284229785,1,0,0,0,0
0,1019112000003,0.0011126193284229785,0,12000N001,10191120000030001-02,PrimeBronze,3,2,6,120001,10191120000030001,12,45-3262003,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0011126193284229785,1,0,0,0,0
0,8936411000010,0.8820067202207437,1,11000N001,89364110000100004-01,"Simplicity $3,000",0,2,5,110001,89364110000100004,11,91-1842494,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8820067202207437,1,0,0,0,0
0,1019112000006,0.0011126193284229785,0,12000N001,10191120000060001-00,CoreSilver Child Only,3,2,19,120001,10191120000060001,12,45-3262003,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0011126193284229785,0,0,0,0,1
0,1019112000014,0.0011126193284229785,1,12000N001,10191120000140002-01,SolidSilver,3,2,13,120001,10191120000140002,12,45-3262003,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0011126193284229785,0,0,0,0,1
0,1019112000007,0.0011126193284229785,0,12000N001,10191120000070004-06,SolidSilver,3,2,36,120001,10191120000070004,12,45-3262003,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0011126193284229785,0,0,0,0,1
0,1019112000012,0.0011126193284229785,1,12000N001,10191120000120001-00,CoreSilver,3,2,4,120001,10191120000120001,12,45-3262003,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0011126193284229785,0,0,0,0,1
0,1019112000004,0.0011126193284229785,0,12000N001,10191120000040001-00,PrimeBronze Child Only,3,2,15,120001,10191120000040001,12,45-3262003,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0011126193284229785,1,0,0,0,0
0,1019112000015,0.0011126193284229785,0,12000N001,10191120000150001-00,Catastrophic Plan,3,2,4,120001,10191120000150001,12,45-3262003,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0011126193284229785,0,0,1,0,0
0,7760612000005,0.7511849395847705,1,12000N002,77606120000050001-00,AmeriHealth 12000 Select Local Value Silver H8000 Coinsurance,0,2,4,120002,77606120000050001,12,22-3338404,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.7511849395847705,0,0,0,0,1
0,7760612000004,0.7511849395847705,0,12000N002,77606120000040001-01,AmeriHealth 12000 Select Local Value Silver H8000,0,1,4,120002,77606120000040001,12,23-2314460,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.7511849395847705,0,0,0,0,1
0,9166112000227,0.9075635861946194,0,12000N001,91661120002270002-00,Horizon Advantage EPO Bronze,3,2,4,120001,91661120002270002,12,22-0999690,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9075635861946194,1,0,0,0,0
0,9166112000230,0.9075635861946194,1,12000N001,91661120002300001-00,Advantage EPO Gold 100  $20/$40,3,2,4,120001,91661120002300001,12,22-0999690,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9075635861946194,0,1,0,0,0
0,9176212000007,0.9086873317163267,0,12000N002,91762120000070001-01,AmeriHealth 12000 Premium Local Value Bronze HSA EPO,3,1,4,120002,91762120000070001,12,22-3338404,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9086873317163267,1,0,0,0,0
0,9176212000008,0.9086873317163267,1,12000N002,91762120000080001-00,AmeriHealth 12000 Premium Local Value HSA Bronze EPO,3,2,4,120002,91762120000080001,12,22-3338404,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9086873317163267,1,0,0,0,0
0,9166112000229,0.9075635861946194,1,12000N001,91661120002290002-00,Direct Access Gold 100/80/60 BlueCard,2,2,4,120001,91661120002290002,12,22-0999690,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9075635861946194,0,1,0,0,0
0,9166112000228,0.9075635861946194,0,12000N001,91661120002280001-00,Horizon Advantage EPO Essentials,3,2,4,120001,91661120002280001,12,22-0999690,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9075635861946194,0,0,1,0,0
0,6694613000008,0.6325797191748815,0,13000N001,66946130000080009-04,Aetna Classic 5000,1,1,7,130001,66946130000080009,13,06-6033492,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6325797191748815,0,0,0,0,1
0,8540813000001,0.8379914995883309,0,13000N001,85408130000010010-02,"GlobalHealth, Inc.",0,1,5,130001,85408130000010010,13,26-3811422,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.8379914995883309,0,0,0,0,1
0,7666813000004,0.740748570284163,0,13000N001,76668130000040004-03,Bronze Deductible Only HSA Eligible H8000 Carelink - Tulsa Region,0,1,10,130001,76668130000040004,13,48-0840330,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.740748570284163,1,0,0,0,0
0,5352413000005,0.48324395291395006,0,13000N001,53524130000050002-06,Silver $10 Copay PPO Exchange,1,1,9,130001,53524130000050002,13,75-1296086,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.48324395291395006,0,0,0,0,1
0,8540813000002,0.8379914995883309,1,13000N001,85408130000020008-01,"GlobalHealth, Inc.",0,2,5,130001,85408130000020008,13,26-3811422,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.8379914995883309,0,1,0,0,0
